,Seiral No,Reviewer ID,Avg Cites,Avg CitesPerYear,Avg CitesPerAuthor,Avg Age,Keyphrases,Journal Count,Confidence Count
0,1,b1919f31,3.21,0.77,1.08,4.09,"network,
wireless,
system,
commun,
translat,
use,
thi,
detect,
peopl,
secur,
perform,
power,
comput,
inform,
devic,
cluster,
technolog,
howev,
differ,
sensor,
techniqu,
approach,
paper,
applic,
energi,
radio,
ha,
gener,
quantum,
sensor network,
model,
problem,
usag,
reliabl,
base,
traffic,
enhanc,
mesh,
research,
design,
data,
languag,
nfc,
countri,
thi paper,
wireless sensor,
wireless sensor network,
challeng,
imag,
wireless mesh,
wireless mesh network,
mesh network,
low-cost,
analysi,
eavesdrop,
page,
emerg,
transmiss,
exist,
control,
websit,
user,
area,
studi,
bangladesh,
consid,
report,
vulner,
sever,
real-tim,
etc,
mechan,
time,
cognit,
content,
distribut,
human,
messag,
solut,
committe,
year,
effici,
gestur,
environ,
secret,
avail,
field,
devis,
manag,
physic,
attack,
nanonetwork,
count,
propos,
co-chair,
bodi,
dynam,
servic,
exploit,
earthquak,
organ,
world,
spectrum,
gestur recognit,
recognit,
simul,
optim,
combin,
method,
provid,
oper,
becom,
integr,
multi-hop,
rescu,
public,
cryptographi,
dure,
fault-toler,
index,
layer,
media,
cognit radio,
therefor,
heterogen,
process,
demand,
limit,
earli,
cross-lay,
protocol,
digit,
post-disast,
cognit radio network,
radio network,
number,
distribut system,
work,
target,
mobil,
tabl,
analyt,
advanc,
rail,
display,
disabl,
node,
field commun,
paradigm,
transport,
post-disast rescu,
program,
ptsd,
convent,
light,
mani,
bodi area,
interact,
increas,
wireless network,
solv,
damag,
power manag,
deploy,
smartphon,
comput cluster,
potenti,
onlin,
set,
day,
improv,
level,
braill,
defens,
uav,
period,
person,
import,
error,
author,
text,
tale,
extrem,
educ,
student,
multipl,
nerv,
storag,
rout,
indoor,
content page,
name,
eg,
miss,
aspect,
technic,
cost,
util,
cool,
cool energi,",141,2
1,2,2e7bedc3,1.09,0.58,0.42,2.6,"qualiti,
augment,
data,
detect,
imag,
data augment,
hangeul,
effici,
background,
network,
learn,
architectur,
process,
write,
improv,
assess,
imag qualiti,
method,
system,
represent,
text,
ha,
semi-supervis,
label,
data augment strategi,
augment strategi,
strategi,
denois,
model,
digit,
use,
abil,
background subtract,
subtract,
salienc,
view,
perform,
edg,
structur,
effect,
convolut,
represent style,
style,
recognit,
task,
becaus,
filter,
base,
architectur search,
search,
digit licens,
digit licens plate,
digit licens plate detect,
licens,
licens plate,
licens plate detect,
plate,
plate detect,
edg detect,
templat,
templat match,
match,
imag qualiti assess,
qualiti assess,
languag,
object,
ssl,
fsl,
studi,
comput,
singl,
alphabet,
import,
syllab,
syllab represent,
saliencymix,
salienc guid,
salienc guid data,
salienc guid data augment,
guid,
guid data,
guid data augment,
guid data augment strategi,
train,
research,
contrast,
human,
semi-supervis learn,
label data,
perceptu,
denois method,
sampl,
veri,
divers,
pool,
surveil,
learning-bas,
gener,
gener abil,
korean,
peopl,
class,
challeng,
imag process,
deep,
intens,
iqa,
increas,
structur contrast,
qualiti index,
index,
larg,
adapt,
attent,
hv,
cnn,
perceiv,
particl,
particl filter,
move,
move object,
track,
mst,
sirazam,
sirazam monira,
monira,
wheemyung,
wheemyung shin,
shin,
taechoong,
taechoong chung,
chung,
sung-ho,
sung-ho bae,
bae,
space,
view effici,
hangeul text,
effici languag,
capabl,
phonet,
ha mani,
ha mani salient,
ha mani salient featur,
mani,
mani salient,
mani salient featur,
salient,
salient featur,
featur,
write embed,
embed,
scientif,
weight,
weight pool,
weight pool method,
pool method,
object imag,
object imag qualiti,
object imag qualiti assess,
lumin,
lumin adapt,
lumin adapt effect,
adapt effect,
binary-classifiers-en,
binary-classifiers-en filter,
typic,
typic semi-supervis,
typic semi-supervis learning-bas,
typic semi-supervis learning-bas scheme,
semi-supervis learning-bas,
semi-supervis learning-bas scheme,
learning-bas scheme,
scheme,
singl model,
unlabel,
unlabel data,
pseudo-label,
pseudo-label method,
surveil system,
surveil system use,
surveil system use raspberri,
system use,
system use raspberri,
system use raspberri pi,
use raspberri,
use raspberri pi,
raspberri,
raspberri pi,
pi,
yolo,
analysi,
post-process,
veri challeng,
veri challeng task,
challeng task,
sampl consensusbas,
sampl consensusbas background,
sampl consensusbas background model,
consensusbas,",21,4
2,3,f1df2fb0,4.08,3.04,0.79,4.91,"public,
diseas,
influenc,
resin,
amin,
system,
c,
film,
present,
b0,
ion,
ion exchang,
ion exchang resin,
exchang,
exchang resin,
histori,
condens,
case,
tuberculosi,
bangladesh,
clinic,
report,
kala-azar,
stroke,
condens system,
film amin,
code,
softwar,
wa,
case report,
patient,
properti,
rare,
use,
hepat,
fever,
model,
syndrom,
chang,
caus,
infect,
ha,
plant,
studi,
thi,
assess,
unusu,
divers,
approach,
viru,
overlap,
overlap syndrom,
characterist,
viscer,
viscer leishmaniasi,
leishmaniasi,
analysi,
ani,
unusu present,
Â¡Â¢Â£Â¤Â¥Â¦Â§Â¢Â¨Â¤Â¡Â©,
a5,
e,
human,
human settlement,
settlement,
plant divers,
wetland,
phobji,
gangtey,
bhutan,
hepat tuberculosi,
classif,
treatment,
diagnosi,
form,
imag,
s,
ischem,
ischem stroke,
covid-19,
data,
venou,
thrombosi,
recurr,
sarcoidosi,
regress,
novel,
diagnost,
..,
compon,
error,
detect,
learn,
level,
chronic,
veri,
drug,
result,
heart,
heart failur,
failur,
effus,
outcom,
inject,
acid,
correct,
recurr venou,
recurr venou thrombosi,
venou thrombosi,
predict,
scientif,
sever,
bodi,
cluster,
technolog,
year,
eu,
lesion,
asymtot,
rocket,
thrust,
acut,
endoscop,
femal,
protein,
protein s,
variou,
antibodi,
film form,
film form amin,
form amin,
hepat c,
hepat c viru,
c viru,
peopl,
inject drug,
pwid,
undergradu,
undergradu educ,
educ,
prepar,
variabl,
profil,
nois,
convalesc,
ensembl,
bag,
framework,
tonsil,
ischem stroke patient,
stroke patient,
chang coupl,
coupl,
activ,
salmonella,
epistemolog,
affect,
dissip,
dissip pattern,
pattern,
cypermethrin,
tomato,
recommend,
dose,
residu,
environ,
isol,
isol hepat,
isol hepat tuberculosi,
dhaka,
pose,
sign,
associ,
differ,
servic,
sspe,
convent,
found,
background,
rare case,
rare case report,
yr,
man,
man present,
swell,
passag,
loos,
loos stool,
stool,
blur,
vision,
month,
epigastr,
epigastr pain,
pain,
jaundic,
itch,
heamatemesi,
malaena,
cough,",58,4
3,4,fb4bc145,12.28,4.11,2.9,2.72,"servic,
piraci,
cloud,
comput,
student,
diseas,
secur,
media,
bangladesh,
languag,
detect,
password,
resourc,
bengali,
rideshar,
data,
system,
emot,
music,
studi,
predict,
smartphon,
word,
analysi,
learn,
accid,
network,
algorithm,
research,
user,
peopl,
differ,
rideshar servic,
approach,
healthcar,
fish,
children,
text,
plant,
model,
base,
provid,
time,
thi research,
method,
bangla,
fog,
inform,
machin,
driver,
propos,
cloud comput,
recognit,
speech,
news,
alloc,
day,
result,
cnn,
ha,
issu,
energi,
market,
problem,
perform,
schedul,
applic,
road,
implement,
thi studi,
blockchain,
manag,
music piraci,
work,
level,
malnutrit,
concern,
survey,
bird,
sentiment,
sentiment analysi,
vm,
commun,
interact,
process,
diseas detect,
bengali languag,
use,
design,
dataset,
internet,
increas,
name,
show,
health,
technolog,
qo,
soil,
optim,
ani,
awar,
statu,
wa,
need,
sever,
becom,
machin learn,
factor,
life,
mobil,
import,
medic,
calcul,
classif,
task,
recurr,
farm,
present,
crime,
univers,
consid,
way,
field,
exist,
case,
secur concern,
deep,
accuraci,
effici,
techniqu,
fake,
distribut,
depress,
mani,
dew,
dew comput,
human,
help,
farmer,
transport,
creat,
mood,
â€™,
challeng,
road accid,
behavior,
onlin,
test,
reduc,
deep learn,
type,
collect,
paper,
cost,
improv,
provis,
suggest,
schedul algorithm,
money,
util,
measur,
charact,
transliter,
year,
howev,
face,
thi paper,
ha becom,
world,
softwar,
classifi,
proper,
analyz,
%,
speech recognit,
convolut,
qualiti,
resourc alloc,
interfac,
numeraci,
conduct,
women,
consumpt,
doe,
devic,
oper,
imag,
individu,
base approach,
effect,
handwritten,
learn approach,
consist,
compar,
cloud confeder,
confeder,
pattern,
sourc,
etc,
chicago,",50,2
4,5,ed5a1b95,9.14,3.82,2.66,4.14,"network,
urllc,
embb,
thi,
spectrum,
member,
ieee,
nguyen,
nguyen h,
h,
servic,
lte-u,
unlicens,
mobil,
commun,
covid-19,
comput,
demand,
base,
iot,
resourc,
influenc,
use,
approach,
effect,
internet,
maxim,
secur,
market,
data,
emerg,
technolog,
techniqu,
coexist,
diseas,
influenc maxim,
unlicens spectrum,
system,
inform,
imag,
cloud,
problem,
increas,
lte,
band,
wireless,
thing,
learn,
applic,
devic,
world,
ha,
paper,
thi paper,
unlicens band,
issu,
steganographi,
challeng,
exponenti,
machin,
research,
fog,
becom,
provid,
distanc,
caus,
control,
ascii,
monitor,
affect,
peopl,
user,
machin learn,
method,
latenc,
variou,
edg,
time,
industri,
traffic,
enhanc,
enhanc mobil,
enhanc mobil broadband,
mobil broadband,
broadband,
epidem,
alloc,
share,
situat,
imag steganographi,
analysi,
bangladesh,
qo,
sector,
viru,
algorithm,
code,
massiv,
pneumonia,
wireless network,
reliabl,
differ,
game,
learn algorithm,
therefor,
environ,
consid,
novel,
sensor,
increas exponenti,
distribut,
detect,
charact,
studi,
migrat,
emot,
co-exist,
licens,
energi,
ascii base,
cryptographi,
gray,
gray code,
dimens,
data secur,
exist,
predict,
licens spectrum,
impact,
pandem,
suppli,
suppli line,
line,
channel,
rate,
wi-fi,
howev,
depend,
indoor,
navig,
advanc,
messag,
area,
meet,
educ,
compar,
compar analysi,
machin learn algorithm,
predict liver,
predict liver diseas,
liver,
liver diseas,
infrastructur,
smart,
outbreak,
number,
requir,
resourc alloc,
key,
volum,
target,
target market,
radio,
face,
natur,
diabet,
fog comput,
embb servic,
spectrum share,
concern,
mechan,
person,
deep,
access,
spectrum scarciti,
scarciti,
content,
audio,
influenti,
task,
year,
dure,
data rate,
effici,
present,
observ,
sometim,
ijcit,
framework,
countri,
worldwid,
competit,
becaus,
domain,
call,
transmiss,
propos,
sever,
co-exist issu,
includ,",74,2
5,6,33b352a3,10.18,3.44,2.4,3.05,"data,
wind,
turbin,
imag,
wind turbin,
mendeley,
mendeley data,
v2,
underwat,
dataset,
reef,
classif,
cell,
biometr,
reef dataset,
class,
breast,
use,
system,
technolog,
autom,
power,
analysi,
thi,
breast tumor,
tumor,
vehicl,
inspect,
base,
biolog,
invert,
inspect imag,
oper,
detect,
smart,
statist,
de,
applic,
model,
context,
n,
util,
learn,
energi,
smart grid,
grid,
design,
measur,
effici,
extract,
dtu-dron,
dtu-dron inspect,
dtu-dron inspect imag,
network,
damag,
vision,
paper,
area,
signal,
scheme,
gener,
featur,
deep,
thi paper,
surfac,
comput,
improv,
fundament,
understand,
food,
decis,
life,
pv,
perform,
statist analysi,
human,
human sleep,
human sleep eeg,
human sleep eeg signal,
sleep,
sleep eeg,
sleep eeg signal,
eeg,
eeg signal,
sea,
munit,
ani,
class e,
e,
propos,
ultrasound,
acquir,
increas,
process,
set,
speci,
advanc,
enhanc,
manifold,
stack,
sustain,
underwat vehicl,
decis boundari,
boundari,
supervis,
deep learn,
novel,
studi,
achiev,
structur,
routin,
modul,
image-bas,
b-mode,
earli,
comput vision,
vehicl technolog,
land,
air,
r,
underwat militari,
underwat militari munit,
militari,
militari munit,
drone,
sensor,
human-cyber-phys,
human-cyber-phys system,
daylight,
daylight util,
field,
object,
pattern,
challeng,
cilia,
unit,
present,
associ,
primari,
import,
b-mode ultrasound,
user,
traffic,
inform,
surfac damag,
bangladesh,
ependym,
effect,
larg,
requir,
thi paper present,
paper present,
algorithm,
public,
projectil,
countri,
ha,
environ,
textur,
parametr,
electr,
factor,
reduc,
plant,
recognit,
help,
concept,
function,
b-mode ultrasound imag,
ultrasound imag,
age,
identif,
map,
classifi,
possibl,
input,
approach,
imag classif,
hybrid,
hybrid scheme,
qo,
telecommun,
telecommun network,
howev,
binari,
binari pattern,
statist model,
compar,
context-awar,
context inform,
access,
right,
cost,
qualiti,
classif use,
convolut,
intellig,
motil,
adult,
caus,",61,4
6,7,760ca7f1,17.75,4,5.37,5.87,"smart,
bangladesh,
comput,
sensor,
wi-fi,
target,
mobil,
ishratjahan,
ishratjahan mouri11depart,
mouri11depart,
comput scienc,
scienc,
engin,
stamford,
stamford univers,
stamford univers bangladesh,
univers,
univers bangladesh,
dhaka,
bangladesh â€œ,
â€œ,
move,
move target,
move target track,
target track,
sensor network,
locat,
network,
track,
time,
attend,
mobil cloud comput,
cloud comput,
resourc,
mobil cloud,
cloud,
access,
access point,
point,
smartphon,
energi,
smart citi,
citi,
distribut,
multipl,
wi-fi radio,
radio,
optim,
power-awar,
power-awar distribut,
access point schedul,
access point schedul algorithm,
point schedul,
point schedul algorithm,
schedul,
schedul algorithm,
algorithm,
thi,
system,
provid,
commun,
powernap,
optim resourc,
optim resourc alloc,
resourc alloc,
alloc,
signific,
applic,
ha,
distribut cluster,
cluster,
problem,
dsn,
introduc,
research,
research challeng,
challeng,
includ,
includ optim,
includ optim select,
optim select,
select,
sens,
commun sector,
sector,
sensor node,
node,
determin,
precis,
precis locat,
year,
consum,
mobil awar,
mobil awar optim,
mobil awar optim resourc,
awar,
awar optim,
awar optim resourc,
awar optim resourc alloc,
heterogen,
heterogen mobil,
heterogen mobil cloud,
heterogen mobil cloud comput,
signific advanc,
advanc,
smartphon technolog,
technolog,
applic target,
devic,
demand,
increas,
increas energi,
comput resourc,
mcc,
perform,
power-awar distribut wi-fi,
power-awar distribut wi-fi access,
distribut wi-fi,
distribut wi-fi access,
distribut wi-fi access point,
wi-fi access,
wi-fi access point,
wi-fi access point schedul,
design,
power,
paper,
mobility-awar,
mobility-awar optim,
mobility-awar optim resourc,
mobility-awar optim resourc alloc,
optim resourc alloc architectur,
resourc alloc architectur,
alloc architectur,
architectur,
data,
data task,
data task execut,
task,
task execut,
execut,
smart citi concept,
citi concept,
concept,
involv,
involv multipl,
involv multipl disciplin,
multipl disciplin,
disciplin,
exampl,
smart healthcar,
healthcar,
smart transport,
transport,
smart commun,
ha becom,
becom,
becaus,
abil,
improv,
citizen,
qualiti,
life,
howev,
servic,
area,
smartphon ha,
smartphon ha implement,
smartphon ha implement sever,
ha implement,
ha implement sever,
ha implement sever power,
implement,
implement sever,
implement sever power,
sever,
sever power,
strategi,
wi-fi radio consum,
wi-fi radio consum signific,
radio consum,
radio consum signific,
radio consum signific amount,
consum signific,
consum signific amount,
signific amount,
amount,
wi-fi energi,
mechan,
way,
unfair,
wi-fi network,
prime,
prime reason,
reason,
smart locat,
smart locat base,
smart locat base time,
locat base,
locat base time,
base,",8,3
7,8,2355c13e,6.63,1.72,1.63,5.19,"mst,
data,
person data,
person,
coronaviru,
pd,
network,
analysi,
covid-19,
sentiment,
sentiment analysi,
caus,
layer,
perform,
detect,
commun,
person data storag,
data storag,
storag,
wimax,
environ,
system,
imag,
use,
admiss,
univers,
fade,
physic,
user,
privaci,
mobil,
human,
ha,
behavior,
store,
peopl,
wimax physic,
wimax physic layer,
physic layer,
pandem,
situat,
contagi,
wireless,
individu,
handov,
commun detect,
rout,
featur,
learn,
admiss test,
test,
autom,
collect,
parti,
thi,
text,
mine,
abil,
smart,
smart environ,
servic,
imag segment,
segment,
microblog,
microblog dataset,
dataset,
coronaviru pandem,
larg,
larg influenc,
influenc,
updat,
contagi ill,
contagi ill caus,
ill,
ill caus,
caus sever,
caus sever respiratori,
caus sever respiratori symptom,
sever,
sever respiratori,
sever respiratori symptom,
respiratori,
respiratori symptom,
symptom,
continu,
affect,
node,
becom,
comparison,
onlin,
space,
udp,
capabl,
frequenc,
issu,
mean,
mac,
mac layer,
thi paper,
paper,
technolog,
fuzzi,
process,
propos,
altern,
releas,
pdss,
differ,
year,
malici,
websit,
emerg,
scheme,
fix,
mobil wimax,
mobil wimax physic,
mobil wimax physic layer,
perform analysi,
driven,
inform,
pattern,
term,
ad,
ad hoc,
ad hoc network,
hoc,
hoc network,
rout protocol,
protocol,
investig,
variou,
predict,
univers admiss,
univers admiss test,
increasingli,
manag,
model,
present,
perform comparison,
awgn,
frequenc select,
frequenc select fade,
frequenc select fade channel,
select,
select fade,
select fade channel,
fade channel,
channel,
wireless commun,
wireless commun system,
wireless commun system use,
commun system,
commun system use,
system use,
issn,
way,
service-centr,
pd offer,
offer,
uniqu,
uniqu logic,
logic,
repositori,
ieee,
wireless network,
enabl,
enabl servic,
enabl servic mobil,
servic mobil,
secur,
natur,
concept,
document,
control,
algorithm,
studi,
thi thesi,
thesi,
human brain,
brain,
internetwork,
internetwork capabl,
wimax mac,
wimax mac layer,
telecommun,
telecommun industri,
industri,
ha focus,
focus,
intens,
intens use,
broadband,
broadband system,
character,
qualiti,
qualiti featur,
thi issu,
transmiss,
transmiss abil,
design,",22,3
8,9,d03604e2,2.25,0.65,0.53,3.51,"imag,
mobil,
video,
network,
comput,
qualiti,
mobil edg,
mobil edg comput,
edg,
edg comput,
screen,
languag,
analysi,
h,
method,
hangeul,
desktop,
approach,
effici,
research,
use,
influenc,
encod,
antenna,
robot,
video encod,
influenc maxim,
maxim,
market,
split,
servic,
veri,
textur,
textur analysi,
remot,
applic,
assess,
background,
detect,
write,
ha,
thi,
perform,
scheme,
imag qualiti,
user,
mobil devic,
devic,
qualiti assess,
diseas,
peopl,
novel,
polici,
studi,
estim,
learn,
text,
propos,
mani,
task,
environ,
style,
system,
imag qualiti assess,
natur,
preset,
iqa,
space,
design,
measur,
algorithm,
time,
differ,
thi paper,
paper,
import,
compress,
base,
resourc,
resourc constraint,
constraint,
mec,
represent,
syllab,
deep,
parkinson,
earli,
earli voltag,
voltag,
channel,
result,
automat,
surveil,
singl,
dynam,
code,
control,
experi,
effect,
object,
resourc constraint mobil,
resourc constraint mobil devic,
constraint mobil,
constraint mobil devic,
work,
length,
perform analysi,
offload,
node,
qoe,
video code,
cost,
influenti,
target,
target market,
im,
remot display,
display,
interact,
content,
ha mani,
problem,
represent style,
day,
set,
scene,
scene retriev,
retriev,
commun,
improv,
area,
essenti,
daa,
distanc,
automat detect,
perspect,
background subtract,
subtract,
sampl,
hangul,
wa,
correct,
promin,
time preset,
path,
path plan,
plan,
fix,
view,
analyz,
screen split,
process,
locat,
model,
function,
alphabet,
inform,
thi work,
variou,
uwb,
uwb antenna,
band,
reinforc,
reinforc learn,
break,
hardwar,
hardwar limit,
limit,
promis,
promis paradigm,
paradigm,
till,
quit,
exist,
exist research,
cloud,
screen content,
imag compress,
includ,
block,
anomali,
anomali detect,
wireless,
facilit,
remot display scheme,
display scheme,
identifi,
hallway,
hallway environ,
line,
mosfet,
channel length,
channel length modul,
length modul,
modul,
syllab represent,
korean,
av1,
intens,
year,",39,4
9,10,d8d7d2a4,4.37,0.94,1.25,3.78,"sat,
revers,
all-interv,
all-interv seri,
seri,
golomb,
golomb ruler,
ruler,
solver,
problem,
challeng,
accept,
e-learn,
search,
effici,
gener,
approach,
constraint-bas,
combinatori,
n,
structur,
differ,
amino,
optim,
comput,
solv,
sat solver,
use,
mitig,
optim golomb,
optim golomb ruler,
hill,
hill climb,
climb,
magic,
magic squar,
squar,
thi,
algorithm,
power,
becom,
implement,
thi paper,
combinatori problem,
paper,
techniqu,
effici sat,
effici sat solver,
cosp,
bit,
size,
permut,
integ,
amino acid,
acid,
assign,
assign problem,
np-complet,
perform,
time,
overcom,
logic,
veri,
respect,
comput scienc,
scienc,
revers shift,
revers shift regist,
shift,
shift regist,
regist,
import,
ha,
mark,
introduc,
structur instanc,
instanc,
satisfi,
water,
water retent,
retent,
abstract,
exploit,
exploit structur,
combinatori search,
believ,
constraint-bas approach,
constraint-bas approach employ,
approach employ,
employ,
conveni,
gener techniqu,
approach use,
definiton,
model,
welldefin,
essenti,
challeng combinatori,
challeng combinatori problem,
mani,
design,
propos,
uniqu,
custom,
custom order,
custom order schedul,
order,
order schedul,
schedul,
lot,
protein,
specif,
3-dimension,
3-dimension structur,
number,
commun,
ccanrsim,
sat race,
race,
md,
shibbir,
hossen,
dept,
engin,
engin jagannath,
engin jagannath univers,
engin jagannath univers dhaka,
jagannath,
jagannath univers,
jagannath univers dhaka,
univers,
univers dhaka,
dhaka,
bangladesh,
variou,
area,
perform analysi,
analysi,
analyz,
ls,
program,
introduc differ,
introduc differ techniqu,
differ techniqu,
challeng face,
challeng face dure,
face,
face dure,
dure,
cbl,
use googl,
googl,
diversifi,
accept search,
accept hill,
accept hill climb,
lahc,
search aim,
aim,
downsid,
tradit,
tradit hill,
tradit hill climb,
hc,
quickli,
quickli trap,
trap,
optimum,
strictli,
strictli accept,
strictli accept onli,
accept onli,
onli,
move,
iter,
revers logic,
technolog,
customiz,
customiz algorithm,
tool,
advanc,
internet,
essenti part,
part,
academ,
academ educ,
educ,
e-learn help,
e-learn help student,
help,
help student,
student,
understand,
topic,
pace,
thi self-learn,
thi self-learn process,
self-learn,
self-learn process,
process,",16,2
