,Reviewer ID,Paper ID,Keyphrases,Confidence
0,d03604e2,3bafbf08,"plate,
licens,
licens plate,
use,
recognit,
detect,
imag,
wa,
charact,
vehicl,
number,
model,
thi,
segment,
system,
plate detect,
plate recognit,
lter,
process,
,
wa use,
number plate,
predict,
show,
alpr,
licens plate detect,
digit,
licens plate recognit,
bound,
train,
],
bengali,
charact recognit,
cnn,
yolov3,
network,
box,
appli,
work,
differ,
bound box,
dataset,
data,
pp,
automat,
method,
licenc,
licenc plate,
ani,
[,
mani,
object,
cation,
fig,
need,
experi,
output,
islam,
model wa,
otsu,
threshold,
accur,
morpholog,
morpholog oper,
oper,
recogn,
gure,
row,
rst,
mean,
techniqu,
gabor,
intern,
k,
confer,
ieee,
otsu threshold,
test,
collect,
part,
preprocess,
road,
citi,
comput,
binari,
ed,
step,
crop,
annot,
phase,
intern confer,
bengali licens,
bengali licens plate,
inform,
technolog,
studi,
propos,
model wa use,
correctli,
cnn model,
c,
bangladesh,
identi,
transform,
provid,
everi,
research,
time,
paper,
deep,
convolut,
match,
angl,
result,
complet,
epoch,
vol,
bangla,
automat,
autom,
yolo,
repres,
measur,
traf,
pattern,
order,
letter,
registr,
registr number,
contain,
separ,
word,
countri,
number plate detect,
algorithm,
deep learn,
learn,
region,
accuraci,
base,
stage,
video,
b,
classi,
size,
yolov3 model,
precis,
p,
number plate recognit,
identifi,
includ,
captur,
wa appli,
thi system,
properli,
alpr system,
car,
park,
cost,
class,
metro,
lot,
ha,
metropolitan,
area,
dhaka,
imag process,
nois,
etc,
tool,
nalli,
map,
charact segment,
lter bank,
bank,
ed gabor,
sensor,
camera,
coordin,
purpos,
perform,
frame,
e,
predict bound,
predict bound box,
g,
kernel,
h,
recognit output,
correct,
sometim,
blurri,
v,
n,
rahman,
journal,
automat licens,
automat licens plate,
automat licens plate recognit,
import,",4
1,d03604e2,06df0537,"model,
video,
use,
layer,
detect,
thi,
convolut,
dataset,
imag,
violent,
action,
wa,
perform,
author,
incept,
classi,
frame,
network,
architectur,
train,
deep,
featur,
comput,
research,
work,
ha,
data,
activ,
pre-train,
[,
motion,
output,
input,
surveil,
learn,
punch,
cation,
mobilenet,
bulli,
ght,
vgg-16,
],
rate,
violenc,
kick,
slap,
differ,
xception,
physic,
veri,
recognit,
footag,
result,
pre-train model,
accuraci,
resnet50,
section,
part,
fig,
,
pp,
time,
extract,
scene,
vision,
label,
valu,
shape,
convolut layer,
approach,
problem,
method,
physic bulli,
solut,
effect,
comput vision,
paper,
collect,
ii,
number,
cnn,
inform,
algorithm,
automat,
er,
connect,
confer,
crime,
interest,
process,
thi paper,
propos,
project,
onli,
previou,
relat,
incept v3,
v3,
determin,
precis,
residu,
score,
ieee,
increas,
cctv,
base,
camera,
dimens,
feed,
set,
need,
focus,
mobilenet v2,
v2,
howev,
mean,
nd,
studi,
improv,
observ,
rst,
rgb,
tri,
audio,
violent video,
type,
name,
movi,
scfl,
svm,
strategi,
hockey,
ef,
array,
convert,
function,
model architectur,
deeper,
pattern,
kick punch,
kick punch slap,
punch slap,
video footag,
introduc,
video surveil,
ad,
violent activ,
machin,
deep learn,
ensur,
pipelin,
c,
contain,
exist,
ed,
real-tim,
system,
regard,
eld,
iii,
found,
v,
two-stream,
map,
mention,
class,
build,
binari,
show,
gener,
lter,
size,
i,
befor,
network model,
creat,
thi model,
dropout,
unit,
activ function,
softmax,
b,
vgg,
×,
deep convolut,
tabl,
mobilenet v-2,
v-2,
proceed,
ieee confer,
pattern recognit,
kick punch slap kick,
punch slap kick,
punch slap kick punch,
slap kick,
slap kick punch,
slap kick punch slap,
time action,
action recognit,
popul,",3
2,d03604e2,5f3a799b,"room,
network,
research,
connect,
router,
data,
packet,
packettracer,
tracer,
control,
arriv,
devic,
thi,
pc,
air,
aircontrol,
controlroom,
server,
system,
aircontrolroom,
guest,
arrivroom,
design,
use,
cisco,
departur,
secur,
fig,
simul,
ciscopacket,
ciscopackettracer,
work,
ip,
departurroom,
networksystem,

transmit,
networkdesign,
wifi,
transmitdata,
softwar,
comput,
end,
enddevic,
figur,
learn,

roompc,
configur,
set,
wifirouter,

help,
thiresearch,
transmiss,
wireless,
employe,
airport,
usecisco,
datatransmiss,
computnetwork,
ani,
technolog,
rout,
depart,
intern,
useciscopacket,
useciscopackettracer,
prototyp,
implement,
ha,
laptop,
commun,
differ,
subnet,
default,
defaultgateway,
gateway,
dn,
dnserver,
guestdepart,
port,
camera,
p,
smart,
world,
protocol,
issu,
project,
perform,
etc,
organ,
success,
switch,
imag,
serverroom,
routerconnect,
guestrouter,
wirelessrouter,
pp,
journal,
engin,
n,
area,
areanetwork,
necessari,
conduct,
networksimul,
time,
packettracersoftwar,
tracersoftwar,
need,
import,
number,
iot,
iotdevic,
collect,
securroom,
ipaddress,
address,
part,
transmitdatatofrom,
datatofrom,
tofrom,
arrivroompc,
subnetmask,
mask,
messag,
internet,
c,
departurroompc,
motion,
motiondetector,
detector,
securcamera,
k,
j,
internjournal,
understand,
life,
workproperli,
properli,
download,
model,
usepacket,
usepackettracer,
way,
ensur,
compon,
possibl,
lan,
datatransmit,
mention,
tablet,
passeng,
store,
pc,
useani,
show,
password,
wirelessrouterconnect,
learntool,
tool,
studi,
g,
r,
protocoluse,
internconfer,
confer,
v,
routprotocol,
n,
autom,
howev,
easi,
easitask,
task,
befor,
depth,
observ,
effici,
base,
doe,
start,
ciscopackettracerha,
packettracerha,
tracerha,
websit,
onlin,
resourc,
face,
network,
datacommun,
larg,
largnumber,
everi,
univers,
differnetwork,
conductthi,
conductthiresearch,",4
3,d03604e2,f107ba2d,"seat,
system,
thi,
bu,
book,
fingerprint,
reserv,
modul,
use,
user,
pin,
ha,
microcontrol,
show,
mani,
student,
number,
transport,
park,
inform,
thisystem,
lcd,
framework,
ani,
util,

finger,
id,
manag,
sensor,
data,
project,
author,
check,
bookseat,
network,
buse,
maniseat,
fingerprintmodul,
display,
prototyp,
univers,
issu,

bus1,
base,
seatreserv,
hi,
bluetooth,
iot,
reservsystem,
thiproject,
blynk,
intern,
propos,
vehicl,
devic,
keypad,
circuit,
matrix,
send,
bus2,
avail,
smart,
passeng,
command,
messag,
seatnumber,
io,
place,
tri,
time,
monitor,
need,
technolog,
seatbook,
help,
iopin,
bt,
wireless,
limit,
individu,
biometr,
control,
problem,
diagram,
commun,
fig,
act,
match,
app,
fp,
notif,
iotbase,
seatreservsystem,
day,
process,
alreadi,
provid,
includ,
ticket,
sm,
applic,
coordin,
confirm,
dot,
dotmatrix,
master,
interfac,
put,
voltag,
baud,
baudrate,
rate,
userbook,
internconfer,
confer,
pp,
ieee,
difficulti,
face,
educ,
transportfacil,
facil,
citi,
dont,
proper,
transportsystem,
bumanag,
access,
reduc,
activ,
managsystem,
complet,
detail,
server,
transit,
work,
simpl,
sensormodul,
devicshow,
slave,
permit,
recognit,
connect,
thipin,
chanc,
bookseatnumber,
line,
blynkapp,

bookani,
bookaniseat,
aniseat,
fig,
idani,
implement,
journal,
scienc,
universbu,
wirelessnetwork,
relat,
butransport,
organ,
fundament,
veri,
way,
sever,
public,
teacher,
addit,
store,
prevent,
easili,
onli,
android,
qr,
userha,
order,
track,
gather,
termin,
transitvehicl,
intellig,
focus,
block,
blockdiagram,
mark,
fingerprintsensor,
fingerprintsensormodul,
input,
interact,
press,
key,
gadget,
bluetoothmodul,
hardwar,
equip,
internet,
raspberri,",4
4,3b690058,edbd48c8,"model,
infect,

data,
popul,

covid19,
growth,
bangladesh,
predict,
number,
dynam,
exponenti,
outbreak,
transmiss,
thi,
use,
reproduct,
pandem,
reproductnumber,
day,
c,
studi,
rate,
time,
lstm,
l,
estim,
diseas,
fit,
countri,

output,
base,
report,
analysi,
size,
cumul,
immun,
r,
g,
epidemiolog,
coronaviru,
infecti,
stack,
trend,
valu,
incid,
vol,
phenomenolog,
host,
step,
observ,
earli,
logist,
regress,
phase,
cumulinfect,
herd,
natur,
lstmmodel,
paramet,
k,
j,
learn,
viru,
logistmodel,
dataset,
exponentigrowth,
period,
health,
show,
vanilla,
compartment,
compartmentmodel,
b,
timestep,
input,
n,
epidem,
journal,
p,
understand,
hostpopul,
thistudi,
world,
march,
pattern,
regressanalysi,
indic,
project,
deep,
deeplearn,
herdimmun,
typic,
infectidiseas,
govern,
maximum,
character,
comput,
wa,
layer,
avail,

wang,
chowel,
effect,
spread,
growthdynam,
ascertain,
individu,
coronavirudiseas,
progress,
result,
differ,
approach,
extract,
deeplearnmodel,
learnmodel,
tempor,
suscept,
recoveri,
mean,
infectincid,
gener,
e,
simul,
error,
bi,
figur,
outcom,
tabl,
intervent,
mathemat,
w,
g,
viboud,
covid19infect,
mortal,
propag,
commun,
accur,
populdensiti,
densiti,
reportdata,

januari,
posit,
analyt,
phenomenologmodel,
daili,
epidemiologmodel,
ha,
analyz,
scope,
assess,
perform,
respiratori,
risk,
populsize,
urgenc,
squar,
case,
veri,
covid19pandem,
research,
diffus,
process,
equat,
random,
featur,
growthtrend,
conduct,
futur,
analys,
herdimmunthreshold,
immunthreshold,
threshold,
mechanist,
transmissrate,
onset,
compris,
cumulinfectincid,
sequenc,
function,
vari,
multipl,
pass,
inform,
sir,
offer,
calcul,
resutl,
vanillastack,
vanillastackbi,
stackbi,
error,
novel,
china,
pp,",4
5,bbaaa300,3bafbf08,"plate,
licens,
licens plate,
use,
recognit,
detect,
imag,
wa,
charact,
vehicl,
number,
model,
thi,
segment,
system,
plate detect,
plate recognit,
lter,
process,
,
wa use,
number plate,
predict,
show,
alpr,
licens plate detect,
digit,
licens plate recognit,
bound,
train,
],
bengali,
charact recognit,
cnn,
yolov3,
network,
box,
appli,
work,
differ,
bound box,
dataset,
data,
pp,
automat,
method,
licenc,
licenc plate,
ani,
[,
mani,
object,
cation,
fig,
need,
experi,
output,
islam,
model wa,
otsu,
threshold,
accur,
morpholog,
morpholog oper,
oper,
recogn,
gure,
row,
rst,
mean,
techniqu,
gabor,
intern,
k,
confer,
ieee,
otsu threshold,
test,
collect,
part,
preprocess,
road,
citi,
comput,
binari,
ed,
step,
crop,
annot,
phase,
intern confer,
bengali licens,
bengali licens plate,
inform,
technolog,
studi,
propos,
model wa use,
correctli,
cnn model,
c,
bangladesh,
identi,
transform,
provid,
everi,
research,
time,
paper,
deep,
convolut,
match,
angl,
result,
complet,
epoch,
vol,
bangla,
automat,
autom,
yolo,
repres,
measur,
traf,
pattern,
order,
letter,
registr,
registr number,
contain,
separ,
word,
countri,
number plate detect,
algorithm,
deep learn,
learn,
region,
accuraci,
base,
stage,
video,
b,
classi,
size,
yolov3 model,
precis,
p,
number plate recognit,
identifi,
includ,
captur,
wa appli,
thi system,
properli,
alpr system,
car,
park,
cost,
class,
metro,
lot,
ha,
metropolitan,
area,
dhaka,
imag process,
nois,
etc,
tool,
nalli,
map,
charact segment,
lter bank,
bank,
ed gabor,
sensor,
camera,
coordin,
purpos,
perform,
frame,
e,
predict bound,
predict bound box,
g,
kernel,
h,
recognit output,
correct,
sometim,
blurri,
v,
n,
rahman,
journal,
automat licens,
automat licens plate,
automat licens plate recognit,
import,",5
6,224294ad,c674de1d,"
face,
imag,
fake,
model,
use,
network,
cnn,


detect,
convolut,
thi,

perform,
fakeface,
differ,
base,
learn,
classi,
layer,
facedetect,
comput,
ha,
human,
mtcnn,
area,
deep,
fig,
creat,
algorithm,
architectur,
pp,
technolog,
recognit,
method,
accuraci,
deeplearn,
fals,
cascad,
implement,
dataset,
repres,
ieee,
manipul,
humanface,
process,
data,
er,
train,
faceimag,
gener,
candid,
khulna,
scienc,
research,
mani,
onlin,

experi,
result,
techniqu,
convolutnetwork,
bound,
boundbox,
box,
posit,
vol,
h,
evalu,
fakefacedetect,
computscienc,
engin,
work,
way,
differcnn,
vggfacevgg16,

object,
exampl,
advanc,
variou,
recogn,
name,
deepfak,
record,
multitask,
collect,
part,
crop,
ii,
analysi,
connect,
cation,
fulli,
rst,
number,
video,
frame,
descript,
provid,
tabl,
genermodel,
genermodelbase,
modelbase,
manipultechniqu,
size,
reduc,
vector,
curv,
access,
onlin,
onlin,
onlin,
http,
performevalu,

univers,
bangladesh,
habecom,
becom,
news,
pornographi,
strategi,
differcnnmodel,
cnnmodel,
imagenetvgg16,
vggfaceresnet50,
respect,
vision,
veri,
show,
ef,
cient,
includ,
predict,
photo,
tool,
internet,
chang,
person,
express,
sever,
multitaskcascad,
class,
qualiti,
appropri,
sourc,
challeng,
pixel,
goal,
materi,
section,
resultanalysi,
studi,
sampl,
howev,
iter,
convolutlayer,
distinguish,
folder,
ident,
c,
preprocess,
mtcnnalgorithm,
cascadconvolut,
cascadconvolutnetwork,
rnet,
stage,
step,
fcn,
window,
boundboxregress,
boxregress,
regress,
epoch,
matplotlib,
librari,
python,
roc,
roccurv,
nois,
facearea,
p,
s,
s,
avail,
confer,
task,
khulnaunivers,
khulnauniverscomput,
khulnauniverscomputscienc,
universcomput,
universcomputscienc,
engindisciplin,
disciplin,
bangladeshwoshikuzzaman,
woshikuzzaman,
busi,
gmailcom,
gmailcom,
",5
7,224294ad,5603c330,"
wa,
use,
mirror,
smart,
user,
smartmirror,

emot,
model,
face,
imag,
train,
recognit,
cnn,
identif,
person,
express,
fig,
content,
thi,
process,
system,
display,
loss,
accuraci,
media,
identifi,

posit,
evalu,
toler,
environ,
happi,
sad,
network,
valu,
classif,
classifi,
detect,
function,
dataset,
epoch,
learn,
inform,
deliv,
wause,
approach,
perform,
layer,
encod,
embed,
respect,
test,
applic,
neg,
interfac,
expressrecognit,
show,
personcontent,
home,
comput,
ha,
preprocess,
devic,
base,
raspberri,
raspberripi,
pi,
fer,
label,
differ,
mirrorinterfac,
data,
result,
compar,
delivperson,
accur,
class,
select,
dure,
number,
fals,
technolog,
smarthome,
provid,
propos,
power,
convolut,
interact,
personmedia,
mobil,
api,
rest,
servic,
profil,
techniqu,
faceidentif,
lbph,
c,
cnnmodel,
exhibit,
k,
tolervalu,
deliveri,
mani,
rate,
etc,
fercnn,
iot,
feed,
research,
smartmirrorinterfac,
b,
method,
binari,
gener,
architectur,
databas,
twitter,
time,
accord,
methodolog,
depict,
anchor,
describ,
p,
recognitcnn,
observ,
vs,
intern,
confer,
homeenviron,
studi,
news,
useremot,
addit,
weather,
propossmart,
propossmartmirror,
modelwa,
implement,

delivpersoncontent,
mediacontent,
pattern,
includ,
consist,
mobilapplic,
activ,
useridentif,
intellig,
histogram,
identifprocess,
mean,
design,
extract,
tweet,
improv,
n,

d,
expressrecognitcnn,
therefor,
falsposit,
emotrecognit,
machin,
integr,
smarthomeenviron,
deep,
deeplearn,
respect,
record,
signific,
individu,
facilit,
interest,
multipl,
user,
need,
orient,
carri,
web,
health,
categori,
surpris,
disgust,
limit,
algorithm,
thiprocess,
requir,
binaripattern,
128dimension,
128dimensionembed,
triplet,
figur,
modul,
facedetect,
faceimag,
sent,
restapi,
",5
8,224294ad,6dceabd7,"speech,

use,
emot,
recognit,
classi,


frequenc,
featur,
er,
signal,
coef,
cient,
emotrecognit,
mfcc,
model,
system,
thi,
learn,
process,

predict,
pp,
network,
n,
cation,
ieee,
voic,
comput,
speechsignal,
differ,

mel,
f,
vol,
speechemot,
extract,
research,
dataset,
data,
c,
wa,
k,
w,
j,
human,
speechemotrecognit,
train,
power,
linear,
sampl,
lpc,
machin,
deep,
ha,
formant,
algorithm,
databas,
emotspeech,
l,
arti,
result,
method,
set,
test,
b,
p,
h,
cial,
intellig,
includ,
design,
select,
achiev,
accuraci,
python,
spectrum,
linearpredict,
recognituse,
r,
speechrecognit,
emotrecognitsystem,
recognitsystem,
confer,
peopl,
i,
applic,
pattern,
identi,
base,
becaus,
effect,
contrast,
frame,
represent,
languag,
speaker,
audiovisu,
actor,
sound,
lter,
scale,
powerspectrum,
estim,
analysi,
e,
er,
arxiv,
arxivpreprint,
arxiv,
arxivpreprint,
preprint,
cialintellig,
work,
project,
user,
signalprocess,
retriev,
tion,
ser,
sever,
util,
inform,
pitch,
requir,
reduc,
perform,
svm,
recurr,
studi,
unsupervis,
domain,
zhang,
ravdess,
tess,
audiovisudatabas,
song,
univers,
word,
tract,
refer,
audio,
hz,
calcul,
order,
determin,

output,
record,
s,
fig,
v,
search,
pythonscript,
script,
provid,
speech,
speechemot,
speechemotrecognit,
emotrecognituse,
x,
j,
intern,
technolog,
robot,
lot,
distinguish,
deeplearn,
interfac,
distinct,
paramet,
automat,
recogn,
variou,
machinlearn,
contain,
chroma,
melfrequ,
cepstrum,
type,
featurselect,
involv,
utter,
year,
approach,
cai,
meng,
gong,
usedeep,
thiscenario,
scenario,
prepar,
load,
step,
ryson,
rysonaudiovisu,
rysonaudiovisudatabas,
toronto,
torontoemot,",5
9,350d0992,5aadb455,"data,
tree,
set,
dataset,
forest,


random,
decis,
attribut,
classi,

pp,
randomforest,
decistree,
vol,
cation,
algorithm,
valu,
class,
record,
use,
train,
traindata,
traindataset,
thi,
machin,
gener,
m,
level,
nois,
decisforest,
differ,
accuraci,
n,
m,
er,
comput,
split,
test,
result,
machinlearn,
learn,
techniqu,
datamine,
mine,
adnan,
weight,
propos,
cial,
classvalu,
select,
p,
number,
j,
islam,
z,
lectur,
lecturnote,
note,
arti,
cationaccuraci,
fig,
bia,
knowledg,
r,
k,
segment,
l,
distribut,
di,

noislevel,
intellig,
reduc,
base,
testdata,
testdataset,
pattern,
knowledgdiscoveri,
discoveri,
tabl,

c,
includ,
everi,
ai,
point,
subspac,
f,
forestalgorithm,
rf,
system,


inform,
bias,
experiment,
propostechniqu,
classattribut,
thipaper,
paper,
consid,
categor,
chosen,
u,
ensembl,
vote,
randomsubspac,
randomli,
bootstrap,
bootstrapsampl,
sampl,
order,
nois,
differnois,
http,
scienc,
cialintellig,
build,
signi,
i,
technolog,
appli,
model,
domain,
splitattribut,
splitpoint,
classdistribut,
research,
predict,
applic,
origin,
space,
determin,
node,
randomforestalgorithm,
ii,
c1,
differnoislevel,
machin,
machinlearn,
network,
survey,
decisforestbuild,
forestbuild,
form,
cantli,
thu,
present,
experimentresult,
usedata,
repositori,
becom,
sensit,
noisi,
introduct,
entir,
analyz,
task,
datasetd,
setd,
d,
type,
work,
algorithm,
process,
nonclass,
nonclassattribut,
divid,
domainvalu,
ie,
d1,
d2,
numer,
testattribut,
ed,
method,
perform,
extrem,
exampl,
randomtree,
bag,
drawn,
nodelevel,
assign,
cationresult,
report,
o,
orf,
rfrwt,
rwt,
tablii,
g,
v,
usa,
intern,
j,
patternrecognit,",3
